attraction_lastochkino_gnezdo	Замок «Ласточкино гнездо»	Гаспра	Алупкинское шоссе, 9А	44.43066	34.12847
attraction_vorontsovskiy_dvorets	Воронцовский дворец	Алупка	Дворцовое шоссе, 18	44.419886	34.055884
attraction_livadiyskiy_dvorets	Ливадийский дворец	Ливадия	ул. Батурина, 44а	44.467792	34.143611
attraction_massandrovskiy_dvorets	Массандровский дворец	Массандра	посёлок Массандра, городской округ Ялта	44.517	34.203
attraction_hanskiy_dvorets	Ханский дворец (Бахчисарайский)	Бахчисарай	ул. Речная, 133	44.7482	33.8822
attraction_dvorets_haraks	Дворец Харакс	Гаспра	Алупкинское шоссе, 13, корпус 1	44.43009	34.1151
attraction_dvorets_dyulber	Дворец Дюльбер	Кореиз	Алупкинское шоссе, 1	44.4295	34.0957
attraction_dvorets_kichkine	Дворец Кичкине	Гаспра	Алупкинское шоссе, 1	44.43747	34.1306
attraction_dvorets_mellas	Дворец Меллас	Санаторное	ул. Гагарина, 15	44.4018	33.8253
attraction_dvorets_knyagini_gagarinoy	Дворец княгини Гагариной	Утёс	территория санатория «Утёс»	44.59336	34.36871
attraction_yusupovskiy_dvorets	Юсуповский дворец (Кореиз)	Кореиз	Парковый спуск, 26	44.432416	34.089559
attraction_mangup_kale	Мангуп-Кале	Ходжа-Сала	плато Баба-Даг, район села Ходжа-Сала	44.594	33.803
attraction_chufut_kale	Чуфут-Кале	Бахчисарай	Староселье, плато Чуфут-Кале	44.735589	33.931142
attraction_eski_kermen	Эски-Кермен	Красный Мак	район сёл Красный Мак, Холмовка и Залесное	44.6095	33.74
attraction_tepe_kermen	Тепе-Кермен	Кудрино	район сёл Кудрино и Машино	44.715895	33.931037
attraction_kachi_kalon	Качи-Кальон	Предущельное	район села Предущельное	44.694638	33.887129
attraction_bakla	Бакла	Скалистое	район села Скалистое	44.81	34.0042
attraction_genuezskaya_krepost_sudak	Генуэзская крепость (Судак)	Судак	ул. Генуэзская Крепость, 1	44.8417	34.9583
attraction_krepost_chembalo	Крепость Чембало в Балаклаве	Балаклава	гора Кастрон, Балаклава	44.494623	33.59875
attraction_arabatskaya_krepost	Арабатская крепость	Каменское	район села Каменское, у основания Арабатской стрелки	45.2957	35.4785
attraction_aluston_krepost	Остатки крепости Алустон	Алушта	исторический центр Алушты, ул. 15 Апреля	44.6769	34.4102
attraction_bashnya_konstantina_feodosiya	Башня Константина (Феодосия)	Феодосия	Юбилейный парк, Феодосия	45.0319	35.3825
attraction_bashnya_dzhovanni_di_skaffa	Башня Джованни ди Скаффа (Феодосия)	Феодосия	район Карантина, Феодосия	45.0205	35.4034
attraction_krepost_funa	Руины крепости Фуна	Лучистое	2 км к северу от села Лучистое, у подножия Южной Демерджи	44.7524	34.3867
attraction_mramornaya_peshchera	Мраморная пещера	Мраморное	нижнее плато Чатыр-Дага, район села Мраморное	44.7969	34.2794
attraction_krasnaya_peshchera_kizil_koba	Красная пещера (Кизил-Коба)	Перевальное	район села Перевальное, долина Кизил-Коба	44.8702	34.3442
attraction_emine_bair_hosar	Эмине-Баир-Хосар (Мамонтовая)	Мраморное	нижнее плато Чатыр-Дага, рядом с Мраморной пещерой	44.8013	34.2895
